user_id,variant,metric,timestamp,device_type,age_group
user_000000,control,107.45071229516849,2024-01-01 00:00:00,desktop,18-24
user_000001,control,97.92603548243223,2024-01-01 01:00:00,tablet,18-24
user_000002,control,109.71532807151038,2024-01-01 02:00:00,desktop,35-44
user_000003,control,122.84544784612038,2024-01-01 03:00:00,tablet,18-24
user_000004,control,96.48769937914996,2024-01-01 04:00:00,tablet,35-44
user_000005,control,96.4879456457623,2024-01-01 05:00:00,tablet,18-24
user_000006,control,123.68819223261087,2024-01-01 06:00:00,desktop,45+
user_000007,control,111.51152093729362,2024-01-01 07:00:00,mobile,25-34
user_000008,control,92.95788421097572,2024-01-01 08:00:00,mobile,45+
user_000009,control,108.13840065378947,2024-01-01 09:00:00,desktop,35-44
user_000010,control,93.04873460781306,2024-01-01 10:00:00,mobile,45+
user_000011,control,93.01405369644614,2024-01-01 11:00:00,mobile,35-44
user_000012,control,103.62943407349051,2024-01-01 12:00:00,tablet,18-24
user_000013,control,71.30079633013304,2024-01-01 13:00:00,tablet,18-24
user_000014,control,74.12623251230451,2024-01-01 14:00:00,desktop,35-44
user_000015,control,91.5656870613854,2024-01-01 15:00:00,desktop,45+
user_000016,control,84.80753319498365,2024-01-01 16:00:00,mobile,18-24
user_000017,control,104.71370998892911,2024-01-01 17:00:00,tablet,25-34
user_000018,control,86.37963886718184,2024-01-01 18:00:00,desktop,18-24
user_000019,control,78.81544447997062,2024-01-01 19:00:00,desktop,25-34
user_000020,control,121.98473153382331,2024-01-01 20:00:00,desktop,45+
user_000021,control,96.61335549270197,2024-01-01 21:00:00,desktop,25-34
user_000022,control,101.01292307031886,2024-01-01 22:00:00,desktop,25-34
user_000023,control,78.62877720679815,2024-01-01 23:00:00,desktop,25-34
user_000024,control,91.83425913212226,2024-01-02 00:00:00,mobile,25-34
user_000025,control,101.66383884564799,2024-01-02 01:00:00,tablet,18-24
user_000026,control,82.73509633866546,2024-01-02 02:00:00,tablet,25-34
user_000027,control,105.63547027518509,2024-01-02 03:00:00,desktop,18-24
user_000028,control,90.99041965121792,2024-01-02 04:00:00,tablet,25-34
user_000029,control,95.62459375310085,2024-01-02 05:00:00,tablet,35-44
user_000030,control,90.97440081655904,2024-01-02 06:00:00,tablet,45+
user_000031,control,127.78417276763406,2024-01-02 07:00:00,desktop,25-34
user_000032,control,99.79754162893099,2024-01-02 08:00:00,desktop,35-44
user_000033,control,84.1343360656615,2024-01-02 09:00:00,tablet,25-34
user_000034,control,112.33817368154783,2024-01-02 10:00:00,tablet,25-34
user_000035,control,81.68734525043467,2024-01-02 11:00:00,desktop,25-34
user_000036,control,103.13295392507133,2024-01-02 12:00:00,mobile,35-44
user_000037,control,70.60494814180336,2024-01-02 13:00:00,tablet,45+
user_000038,control,80.07720926652354,2024-01-02 14:00:00,mobile,35-44
user_000039,control,102.95291853803685,2024-01-02 15:00:00,tablet,45+
user_000040,control,111.07699869993115,2024-01-02 16:00:00,mobile,25-34
user_000041,control,102.57052421784955,2024-01-02 17:00:00,mobile,18-24
user_000042,control,98.2652757641764,2024-01-02 18:00:00,mobile,25-34
user_000043,control,95.48344456616067,2024-01-02 19:00:00,desktop,45+
user_000044,control,77.82217014448858,2024-01-02 20:00:00,mobile,35-44
user_000045,control,89.20233687407936,2024-01-02 21:00:00,mobile,25-34
user_000046,control,93.09041843560318,2024-01-02 22:00:00,mobile,35-44
user_000047,control,115.85683339328374,2024-01-02 23:00:00,tablet,35-44
user_000048,control,105.15427434352692,2024-01-03 00:00:00,mobile,35-44
user_000049,control,73.554397669559,2024-01-03 01:00:00,tablet,25-34
user_000050,control,104.86125954092192,2024-01-03 02:00:00,mobile,35-44
user_000051,control,94.22376579375525,2024-01-03 03:00:00,mobile,35-44
user_000052,control,89.84616999541062,2024-01-03 04:00:00,desktop,25-34
user_000053,control,109.17514433261302,2024-01-03 05:00:00,tablet,35-44
